Volcano Number,Volcano Name,Whelley classification,Whelley_VEI1,Whelley_VEI2,Whelley_VEI3,Whelley_VEI4,Whelley_VEI5,Whelley_VEI6,Whelley_VEI7,Calculation
260001,NARCONDUM,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
260010,BARREN ISLAND,Open-vent stratocone,0.071707953,0.121525533,0.015190692,0.001053741,0.000230769,7.69E-06,3.85E-06,Class
261020,SEULAWAH AGAM,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261030,PEUETSAGU,Semi-plugged stratocone,0.033898305,0.042016807,0,0,0,0,0,Volcano
261050,BUR NI TELONG,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261070,SIBAYAK,Well-plugged stratocone,0.025423729,0.084033613,0.012605042,0,0,0.0002,0,Class
261080,SINABUNG,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261090,TOBA,Large caldera,0.056497175,0.078431373,0.006535948,0.001014713,0,1.11E-05,2.22E-05,Class
261101,IMUN,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261110,SIBUALBUALI,Open-vent stratocone,0.071707953,0.121525533,0.015190692,0.001053741,0.000230769,7.69E-06,3.85E-06,Class
261111,LUBUKRAYA,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261120,SORIKMARAPI,Open-vent stratocone,0.016949153,0.016806723,0,0,0,0,0,Volcano
261121,MALINTANG,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261130,TALAKMAU,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261131,SARIK-GAJAH,Open-vent stratocone,0.071707953,0.121525533,0.015190692,0.001053741,0.000230769,7.69E-06,3.85E-06,Class
261140,MARAPI (MERAPI),Open-vent stratocone,0.203389831,0.243697479,0,0,0,0,0,Volcano
261150,TANDIKAT,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261160,TALANG,Open-vent stratocone,0.06779661,0.042016807,0,0,0,0,0,Volcano
261170,KERINCI,Open-vent stratocone,0.13559322,0.18487395,0,0,0,0,0,Volcano
261171,KUNYIT,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261172,HUTAPANJANG,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261180,SUMBING,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261191,PENDAN,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261200,BELIRANG-BERITI,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261210,BUKIT DAUN,Well-plugged stratocone,0.025423729,0.084033613,0.012605042,0,0,0.0002,0,Class
261220,KABA,Semi-plugged stratocone,0.016949153,0.033613445,0,0,0,0,0,Volcano
261230,DEMPO,Open-vent stratocone,0.06779661,0.100840336,0,0,0,0,0,Volcano
261231,PATAH,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261240,LUMUT BALAI,Open-vent stratocone,0.071707953,0.121525533,0.015190692,0.001053741,0.000230769,7.69E-06,3.85E-06,Class
261250,BESAR,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261251,RANAU,Large caldera,0.056497175,0.078431373,0.006535948,0.001014713,0,1.11E-05,2.22E-05,Class
261260,SEKINCAU BELIRANG,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261270,SUOH,Large caldera,0.056497175,0.078431373,0.006535948,0.001014713,0,1.11E-05,2.22E-05,Class
261280,HULUBELU,Well-plugged stratocone,0.025423729,0.084033613,0.012605042,0,0,0.0002,0,Class
261290,RAJABASA,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
261810,GAJOLESTEN,Distributed cones and fields,0.016949153,0.008403361,0,0,0,0,0,Class
261815,HELATOBA TARUTUNG,Distributed cones and fields,0.016949153,0.008403361,0,0,0,0,0,Class
262000,KRAKATAU,Large caldera,0.056497175,0.078431373,0.006535948,0.001014713,0,1.11E-05,2.22E-05,Class
263010,PULOSARI,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263020,KARANG,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263040,PERBAKTI-GAGAK,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263050,SALAK,Semi-plugged stratocone,0,0.033613445,0,0,0,0,0,Volcano
263060,GEDE III,Semi-plugged stratocone,0,0.033613445,0,0,0,0,0,Volcano
263070,PATUHA,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263080,WAYANG-WINDU,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263081,MALABAR,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263090,TANGKUBANPARAHU,Open-vent stratocone,0.118644068,0.016806723,0,0,0,0,0,Volcano
263100,PAPANDAYAN,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263110,KAWAH MANUK,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263130,GUNTUR,Open-vent stratocone,0.071707953,0.121525533,0.015190692,0.001053741,0.000230769,7.69E-06,3.85E-06,Class
263131,TAMPOMAS,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263140,GALUNGGUNG,Semi-plugged stratocone,0.016949153,0,0,0.00456621,0.001,0,0,Volcano
263150,TALAGABODAS,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263160,KAWAH KARAHA,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263170,CEREME,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263180,SLAMET,Open-vent stratocone,0.06779661,0.218487395,0,0,0,0,0,Volcano
263200,DIENG VOLC COMPLEX,Semi-plugged stratocone,0.186440678,0.025210084,0,0,0,0,0,Volcano
263210,SUNDORO,Semi-plugged stratocone,0,0.025210084,0,0,0,0,0,Volcano
263220,SUMBIMG,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263230,UNGARAN,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263231,TELOMOJO,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263240,MERBABU,Open-vent stratocone,0.071707953,0.121525533,0.015190692,0.001053741,0.000230769,7.69E-06,3.85E-06,Class
263250,MERAPI I,Open-vent stratocone,0.016949153,0.117647059,0.033613445,0.00913242,0,0,0,Volcano
263251,MURIA,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263260,LAWU,Well-plugged stratocone,0.025423729,0.084033613,0.012605042,0,0,0.0002,0,Class
263270,WILIS,Semi-plugged stratocone,0.006518905,0.014652015,0.000861883,0.000819576,5.13E-05,0,0,Class
263280,KELUT,Semi-plugged stratocone,0.033898305,0.016806723,0.008403361,0.02739726,0.001,0,0,Volcano
