Volcano Number,Volcano Name,Region,Estimate method,Recorded small eruptions,Recorded large eruptions,Recorded unknown eruptions,Jenkins classification,Whelley classification,Probability of eruption 5th percentile,Probability of eruption 50th percentile,Probability of eruption 95th percentile,<= VEI 3 5th percentile,<= VEI 3 50th percentile,<= VEI 3 95th percentile,VEI 4 5th percentile,VEI 4 50th percentile,VEI 4 95th percentile,VEI 5 5th percentile,VEI 5 50th percentile,VEI 5 95th percentile,VEI 6 5th percentile,VEI 6 50th percentile,VEI 6 95th percentile,VEI 7 5th percentile,VEI 7 50th percentile,VEI 7 95th percentile
264020,Agung,Indonesia,Bayesian update,2,2,0,Large cone,Open-vent stratocone,0.008231248853061052,0.01270100783828973,0.01921070709930375,0.008037683677938664,0.010749217726491426,0.01373809015208586,0.00010889768635698589,0.0010508930512044407,0.002858521386926453,5.90598055582036e-05,0.0006211718523434859,0.001767456907738958,1.6899679041574433e-05,0.00018724447756575678,0.0005730095634500357,8.708004165625932e-06,9.248073068461962e-05,0.0002736290891024466
268072,Amasing,Indonesia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.137589145756762e-05,0.002059096311003254,0.011617523962056918,5.502413661914571e-05,0.0018614480283741807,0.01048417482258878,4.5514249595607195e-06,0.00013742238703725606,0.0007864301406509583,1.4548104074929403e-06,4.895845159771814e-05,0.0002825365721513822,3.1716385884878613e-07,1.0252840746757173e-05,5.746717610892824e-05,2.835561251946697e-08,1.0146032473420938e-06,6.9152505568684894e-06
273088,Ambalatungan Group,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.241155966673026e-05,0.001990938641919704,0.011733799910344862,5.617318750329208e-05,0.0017935575517488513,0.01061604319306704,4.386341496560132e-06,0.00013756382646853944,0.0007724890211544124,1.4948475293358875e-06,4.878211683066064e-05,0.000279735103716258,3.295619485024937e-07,1.0023586584927247e-05,5.8278152880968695e-05,2.7621189039669376e-08,1.0115602867251e-06,7.254439526181941e-06
266020,Ambang,Indonesia,Bayesian update,1,0,1,Large cone,Semi-plugged stratocone,0.0026237843200557012,0.006513042904899381,0.01252094381629532,0.002452009660761626,0.004602223699646342,0.006879322745090506,9.324908584955206e-05,0.0010307360006333432,0.0030245545385739593,5.2163562575888295e-05,0.0005800676449239394,0.0017213087130766782,2.6362010868634598e-05,0.00030001555969575724,0.0008957578195541751,0.0,0.0,0.0
271030,Apo,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.489675448442788e-05,0.002020380813713156,0.01181223885844884,5.800701485289379e-05,0.0018224424441333213,0.010679260454416308,5.004819242378194e-06,0.00013623359735326227,0.0007818470516449099,1.5364446918755712e-06,5.065361586679881e-05,0.00028526697354929115,3.1918238988796154e-07,1.0006856059052007e-05,5.867467754562548e-05,2.9293307392357296e-08,1.0443003007213493e-06,7.18970129270773e-06
273084,Arayat,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.6242402944285e-05,0.002081561882482531,0.011714567896996373,5.9650793234416655e-05,0.0018801441291551465,0.01058432213270723,4.570652666590189e-06,0.00013843049281965454,0.0007773840882360612,1.6644566906179636e-06,5.204728357910581e-05,0.0002871693308615111,3.286619548441692e-07,9.915926904349367e-06,5.8632103269086076e-05,2.7838397816020158e-08,1.0240500242747098e-06,7.060241922484868e-06
263290,Arjuno-Welirang,Indonesia,Bayesian update,2,0,0,Large cone,Semi-plugged stratocone,0.003939021682841697,0.00826742731776672,0.014537273028968952,0.0037303810362722487,0.006198866703057864,0.008704201469477583,0.00012304473206818783,0.001198203621090069,0.003298191433134906,5.847644468756253e-05,0.0005789828949988146,0.0016736166808260233,1.973884979236454e-05,0.0002090147484308127,0.0006152128944783044,7.380620021334079e-06,8.235935018916009e-05,0.000246050551052136
267040,Awu,Indonesia,Bayesian update,12,2,0,Large cone,Semi-plugged stratocone,0.03899191583861509,0.05227039492077657,0.06893211949966586,0.03815278902793812,0.0455921825774077,0.05260339857886306,0.0005867481275744981,0.0042233983874212806,0.00970808107797273,0.00017531132009076974,0.0016960696210448442,0.004492957871716163,6.653659610757006e-05,0.0006470529812814485,0.001796026178162487,1.053076690413481e-05,0.00011169135362130357,0.00033165579295142136
274030,Babuyan Claro,Philippines and SE Asia,Bayesian update,6,1,0,Large cone,Semi-plugged stratocone,0.020546372934158844,0.029823546525402325,0.04193868791761377,0.020052510654080355,0.025319486582676264,0.03032246436653719,0.0003204191382604571,0.0027409404360368584,0.006751354046354977,0.00012119432397245332,0.001219062923456614,0.003301628625151483,3.9963563292559376e-05,0.0004183524853450519,0.001192616119601938,1.2285254553017901e-05,0.0001257040978875374,0.0003706247599681838
263351,Baluran,Indonesia,Analogue,0,0,0,Large cone,Well-plugged stratocone,6.908990859759095e-05,0.002010874944826264,0.011801846432627433,6.243634729129236e-05,0.0018138668849035017,0.010680167771845663,4.711227826128159e-06,0.000136014079758925,0.0007756923439003024,1.5836026285781895e-06,4.9925083574112346e-05,0.0002814583301991208,3.3179581865319604e-07,1.0027070006439055e-05,5.738330688881376e-05,2.6935032939044548e-08,1.0418265832855195e-06,7.144679793533193e-06
271010,Balut,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.026223847739989e-05,0.002055718952999974,0.01159432448974406,5.406186738280571e-05,0.001855854605731794,0.010474933324986257,4.295065465990006e-06,0.00013929037116515783,0.0007651622589253997,1.576917835696301e-06,4.968611628021675e-05,0.000289221196861436,2.985781333605657e-07,9.822774870575836e-06,5.7634936137045856e-05,2.9809659547300744e-08,1.065084952229364e-06,7.37277283392026e-06
273050,Banahaw,Philippines and SE Asia,Analogue,0,0,0,Large cone,Semi-plugged stratocone,6.303501233461664e-05,0.002130146779198371,0.011743229029618801,5.664203147337214e-05,0.0019321233101172197,0.010622889772332236,4.640605681224939e-06,0.00013736784917822302,0.000771071249057468,1.4557812393948187e-06,4.982610879946787e-05,0.0002857111238442925,2.698455284848619e-07,9.776599365982907e-06,5.640017784026376e-05,2.674841213986799e-08,1.052911737477095e-06,7.156706544543446e-06
265090,Banda Api,Indonesia,Bayesian update,10,0,0,Caldera,Open-vent stratocone,0.027934067171068142,0.040521311756562685,0.05708324114219151,0.027254934458282313,0.034064399553693656,0.040350389538960835,0.0003436062751949995,0.003003125043183842,0.007534864159926898,0.0001611594548602616,0.0016124453253780766,0.004261650741539638,0.00012567202450597422,0.001321628884580854,0.0034878809836465566,4.869495822459372e-05,0.0005197129497262644,0.0014484557181175704
260010,Barren Island,Indonesia,Bayesian update,14,0,0,Large cone,Open-vent stratocone,0.04349205767933485,0.05605751774699333,0.07224980265904847,0.04283840209029334,0.05005459674127,0.056838632850189565,0.0003821399967926844,0.0032540176114605754,0.007917402039959671,0.00017004112632462687,0.00171972189161143,0.004580234997937102,7.372617288627697e-05,0.000745041871022511,0.0020767334588965088,2.7748293037918623e-05,0.00028413963162881244,0.0008367993120656171
275050,Bas Dong Nai,Philippines and SE Asia,Analogue,0,0,0,Small cone,Distributed cones and fields,2.287866280586435e-05,0.0008310458295391204,0.0051534340908539755,2.0625256498904893e-05,0.0007494923343944021,0.004656809155112731,2.039635722385393e-06,7.336614296399033e-05,0.00044569273974987976,1.9393544709307354e-07,7.425924295407264e-06,4.572193874036505e-05,1.848482573269463e-08,6.869281875157088e-07,4.533155708570705e-06,1.3503117482924054e-09,7.449969780507255e-08,6.771015424288827e-07
264010,Batur,Indonesia,Bayesian update,25,0,0,Caldera,Open-vent stratocone,0.0748368567328683,0.09947777571716954,0.1290456692028952,0.07332612070967191,0.08683104773950268,0.09825087739101875,0.0008438309332748306,0.006337553240843915,0.014784645613187968,0.00033075597465873123,0.0030371326225297982,0.007542571015018693,0.0002538765443970376,0.002421814070912376,0.006148898569374334,8.227257086578647e-05,0.0008502280433807601,0.002318676614295462
268073,Bibinoi,Indonesia,Analogue,0,0,0,Large cone,Open-vent stratocone,6.633787982468887e-05,0.002072658732500224,0.011861729683651666,6.005759601915405e-05,0.0018729870267984795,0.010739498177538602,4.3208714138696224e-06,0.00013894817979741872,0.0007735580884174123,1.64804285803978e-06,4.978185404221794e-05,0.00028383619506814993,2.8236441432923384e-07,9.898117556688406e-06,5.7860765538130824e-05,2.9005119296179978e-08,1.043554305419139e-06,6.976457089371127e-06
272080,Biliran,Philippines and SE Asia,Bayesian update,1,0,0,Large cone,Semi-plugged stratocone,0.001758848001581115,0.004988150999034275,0.010159884157900896,0.0016093531281336992,0.0033777735643643774,0.005320513684802556,8.060048231134434e-05,0.0008683070028167968,0.0025842104676220647,4.419749655496656e-05,0.0004706609019685756,0.0014307438423212834,1.576164261192119e-05,0.00017353898651322234,0.0005239565626822382,8.935251969183702e-06,9.787054337130167e-05,0.0003004596004727543
